"model_key","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_review"
"qwen3_8b_base",118395,23679,118370,25,0,0,0,0,115903,97.91585705837628,39.69178001182732,168.68880628537636,118370,3895,3.2905296950240768,3739,3895,10010,8.45653459491425,4,13796
"qwen3_8b_post",118395,23679,118370,25,0,0,0,0,118368,99.99831038269832,39.99993241530793,163.35442257328714,118370,2642,2.2319844555208244,2595,2642,19419,16.405339190673313,12,21909
