"model_key","repetition","n_records","n_prompts","n_ok","n_skipped_empty","n_empty_generation","n_unexpected_status","n_status_inconsistent","n_duplicate_key_rows","n_at_token_limit","pct_at_token_limit_ok","mean_generated_tokens_ok","mean_chars_ok","n_nonempty_ok","n_han_ok","pct_han_nonempty_ok","n_han_and_latin_ok","n_han_only_in_generation_ok","n_question_mark_ok","pct_question_mark_nonempty_ok","n_repeated_word","n_nul_rows","n_nul_characters","n_review"
"qwen3_8b_base",1,23679,23679,23674,5,1,0,0,0,23560,99.51845906902086,39.94483399510011,176.12270845653458,23673,24,0.10138132049169941,22,24,220,0.9293287711739113,4,1,8,249
"qwen3_8b_post",1,23679,23679,23674,5,1,0,0,0,23674,100,40,172.6477147925995,23673,7,0.029569551810078993,7,7,147,0.6209605880116588,8,0,0,163
